Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2015-12-27,Star Wars: The Force Awakens,2015,https://letterboxd.com/jacobworrel/film/star-wars-the-force-awakens/,3.5,,2015-12-26
2015-12-28,The Revenant,2015,https://letterboxd.com/jacobworrel/film/the-revenant-2015/,3.5,,2015-12-27
2016-01-09,The Danish Girl,2015,https://letterboxd.com/jacobworrel/film/the-danish-girl/,1.5,,2016-01-06
2016-01-09,99 Homes,2014,https://letterboxd.com/jacobworrel/film/99-homes/,3.5,,2016-01-08
2016-01-11,The Hateful Eight,2015,https://letterboxd.com/jacobworrel/film/the-hateful-eight/,4.5,,2016-01-10
2016-01-16,Making a Murderer,2015,https://letterboxd.com/jacobworrel/film/making-a-murderer/,3.5,,2016-01-15
2016-01-19,The Good Dinosaur,2015,https://letterboxd.com/jacobworrel/film/the-good-dinosaur/,3,,2016-01-18
2016-01-26,Anomalisa,2015,https://letterboxd.com/jacobworrel/film/anomalisa/,3.5,,2016-01-24
2016-01-29,Where to Invade Next,2015,https://letterboxd.com/jacobworrel/film/where-to-invade-next/,2,,2016-01-27
2016-01-31,Joy,2015,https://letterboxd.com/jacobworrel/film/joy-2015/,4,,2016-01-30
2016-02-03,Polytechnique,2009,https://letterboxd.com/jacobworrel/film/polytechnique/,2,,2016-02-01
2016-02-03,Manhunter,1986,https://letterboxd.com/jacobworrel/film/manhunter/,3,,2016-02-02
2016-02-08,Love,2015,https://letterboxd.com/jacobworrel/film/love-2015/,2,,2016-02-03
2016-02-12,Snow on tha Bluff,2011,https://letterboxd.com/jacobworrel/film/snow-on-tha-bluff/,4,,2016-02-10
2016-02-16,Begin Again,2013,https://letterboxd.com/jacobworrel/film/begin-again/,3,,2016-02-14
2016-02-16,Straight Time,1978,https://letterboxd.com/jacobworrel/film/straight-time/,3.5,,2016-02-15
2016-02-16,Buffalo '66,1998,https://letterboxd.com/jacobworrel/film/buffalo-66/,4,,2016-02-15
2016-02-24,Mustang,2015,https://letterboxd.com/jacobworrel/film/mustang-2015/,3,,2016-02-21
2016-02-24,The Witch,2015,https://letterboxd.com/jacobworrel/film/the-witch-2015/,2.5,,2016-02-23
2016-02-26,"Right Now, Wrong Then",2015,https://letterboxd.com/jacobworrel/film/right-now-wrong-then/,3.5,,2016-02-24
2016-02-28,Intolerable Cruelty,2003,https://letterboxd.com/jacobworrel/film/intolerable-cruelty/,4,,2016-02-26
2016-03-08,Bride of Frankenstein,1935,https://letterboxd.com/jacobworrel/film/bride-of-frankenstein/,3,,2016-03-06
2016-03-11,Steve Jobs: The Man in the Machine,2015,https://letterboxd.com/jacobworrel/film/steve-jobs-the-man-in-the-machine/,3,,2016-03-08
2016-03-11,Fatima,2015,https://letterboxd.com/jacobworrel/film/fatima-2015/,2,,2016-03-09
2016-03-13,Cartel Land,2015,https://letterboxd.com/jacobworrel/film/cartel-land/,2,,2016-03-10
2016-03-13,Donkey Skin,1970,https://letterboxd.com/jacobworrel/film/donkey-skin/,4,,2016-03-11
2016-03-23,Beasts of No Nation,2015,https://letterboxd.com/jacobworrel/film/beasts-of-no-nation/,2,,2016-03-21
2016-04-03,Sister Act,1992,https://letterboxd.com/jacobworrel/film/sister-act/,3,,2016-03-31
2016-04-03,Zootopia,2016,https://letterboxd.com/jacobworrel/film/zootopia/,3.5,,2016-04-01
2016-04-11,Raja,2003,https://letterboxd.com/jacobworrel/film/raja-2003/,3,,2016-04-10
2016-04-12,Murder on a Sunday Morning,2001,https://letterboxd.com/jacobworrel/film/murder-on-a-sunday-morning/,3.5,,2016-04-10
2016-04-13,The Big Short,2015,https://letterboxd.com/jacobworrel/film/the-big-short/,2,,2016-04-11
2016-04-15,World of Tomorrow,2015,https://letterboxd.com/jacobworrel/film/world-of-tomorrow/,2.5,,2016-04-14
2016-04-16,My King,2015,https://letterboxd.com/jacobworrel/film/my-king-2015/,3,,2016-04-15
2016-04-17,Still Alice,2014,https://letterboxd.com/jacobworrel/film/still-alice/,3.5,,2016-04-17
2016-04-27,Brooklyn,2015,https://letterboxd.com/jacobworrel/film/brooklyn/,3.5,,2016-04-26
2016-05-03,The Jungle Book,2016,https://letterboxd.com/jacobworrel/film/the-jungle-book-2016/,2.5,,2016-04-30
2016-05-08,Girlfight,2000,https://letterboxd.com/jacobworrel/film/girlfight/,2,,2016-05-07
2016-05-14,Destry Rides Again,1939,https://letterboxd.com/jacobworrel/film/destry-rides-again/,3,,2016-05-12
2016-05-17,Fair Game,2010,https://letterboxd.com/jacobworrel/film/fair-game-2010/,3.5,,2016-05-16
2016-05-24,Wolf,2013,https://letterboxd.com/jacobworrel/film/wolf-2013/,3,,2016-05-23
2016-06-06,Ma 6-T va crack-er,1997,https://letterboxd.com/jacobworrel/film/ma-6-t-va-crack-er/,2,,2016-05-23
2016-06-01,The New Kid,2015,https://letterboxd.com/jacobworrel/film/the-new-kid/,4,,2016-05-30
2016-06-02,Cool Hand Luke,1967,https://letterboxd.com/jacobworrel/film/cool-hand-luke/,3,,2016-05-31
2016-06-04,Monster's Ball,2001,https://letterboxd.com/jacobworrel/film/monsters-ball/,1.5,,2016-06-03
2016-06-30,Duplicity,2009,https://letterboxd.com/jacobworrel/film/duplicity/,2,,2016-06-29
2016-06-30,"Wesh Wesh, qu'est-ce qui se passe ?",2001,https://letterboxd.com/jacobworrel/film/wesh-wesh-quest-ce-qui-se-passe/,2.5,,2016-06-29
2016-06-30,Eye in the Sky,2015,https://letterboxd.com/jacobworrel/film/eye-in-the-sky-2015/,3,,2016-06-29
2016-07-01,Hospital,1970,https://letterboxd.com/jacobworrel/film/hospital-1970/,3,,2016-06-30
2016-07-03,While We're Young,2014,https://letterboxd.com/jacobworrel/film/while-were-young/,2.5,,2016-07-02
2016-07-04,Locke,2013,https://letterboxd.com/jacobworrel/film/locke/,3,,2016-07-03
2016-07-05,Hackers,1995,https://letterboxd.com/jacobworrel/film/hackers/,2.5,,2016-07-03
