Date,Name,Year,Letterboxd URI,Rating
2013-06-09,See the Sea,1997,https://letterboxd.com/film/see-the-sea/,4
2013-06-09,The Last Days of Disco,1998,https://letterboxd.com/film/the-last-days-of-disco/,4
2013-06-09,The Celebration,1998,https://letterboxd.com/film/the-celebration/,4
2013-06-09,The Hole,1998,https://letterboxd.com/film/the-hole/,4
2013-06-09,Jackie Brown,1997,https://letterboxd.com/film/jackie-brown/,4
2013-06-09,Buffalo '66,1998,https://letterboxd.com/film/buffalo-66/,4
2013-06-09,Titanic,1997,https://letterboxd.com/film/titanic-1997/,3.5
2013-06-09,Starship Troopers,1997,https://letterboxd.com/film/starship-troopers/,4
2013-06-09,L.A. Confidential,1997,https://letterboxd.com/film/la-confidential/,4
2013-06-09,The Game,1997,https://letterboxd.com/film/the-game/,3.5
2013-06-09,Funny Games,1997,https://letterboxd.com/film/funny-games/,4.5
2013-06-09,Mother and Son,1997,https://letterboxd.com/film/mother-and-son/,4
2013-06-09,"Sick: The Life and Death of Bob Flanagan, Supermasochist",1997,https://letterboxd.com/film/sick-the-life-and-death-of-bob-flanagan-supermasochist/,3.5
2013-06-09,Scream,1996,https://letterboxd.com/film/scream/,3.5
2013-06-09,Paradise Lost: The Child Murders at Robin Hood Hills,1996,https://letterboxd.com/film/paradise-lost-the-child-murders-at-robin-hood-hills/,4
2013-06-09,A Summer's Tale,1996,https://letterboxd.com/film/a-summers-tale/,3.5
2013-06-09,The Promise,1996,https://letterboxd.com/film/the-promise-1996/,4
2013-06-09,Ponette,1996,https://letterboxd.com/film/ponette/,4
2013-06-09,The Rock,1996,https://letterboxd.com/film/the-rock/,3.5
2013-06-09,Secrets & Lies,1996,https://letterboxd.com/film/secrets-lies/,3.5
2013-06-09,Primal Fear,1996,https://letterboxd.com/film/primal-fear/,4.5
2013-06-09,Breaking the Waves,1996,https://letterboxd.com/film/breaking-the-waves/,4
2013-06-09,The Three Brothers,1995,https://letterboxd.com/film/the-three-brothers/,4
2013-06-09,Heat,1995,https://letterboxd.com/film/heat-1995/,4
2013-06-09,Casino,1995,https://letterboxd.com/film/casino/,4
2013-06-09,Toy Story,1995,https://letterboxd.com/film/toy-story/,4.5
2013-06-09,Safe,1995,https://letterboxd.com/film/safe/,4
2013-06-09,Babe,1995,https://letterboxd.com/film/babe/,3.5
2013-06-09,Apollo 13,1995,https://letterboxd.com/film/apollo-13/,3.5
2013-06-09,Tommy Boy,1995,https://letterboxd.com/film/tommy-boy/,3.5
2013-06-09,Heavyweights,1995,https://letterboxd.com/film/heavyweights/,3.5
2013-06-09,Living in Oblivion,1995,https://letterboxd.com/film/living-in-oblivion/,3.5
2013-06-09,Pulp Fiction,1994,https://letterboxd.com/film/pulp-fiction/,4.5
2013-06-09,Satantango,1994,https://letterboxd.com/film/satantango/,4
2013-06-09,Dumb and Dumber,1994,https://letterboxd.com/film/dumb-and-dumber/,4.5
2013-06-09,Angels in the Outfield,1994,https://letterboxd.com/film/angels-in-the-outfield-1994/,3.5
2013-06-09,Three Colors: Red,1994,https://letterboxd.com/film/three-colors-red/,4
2013-06-09,71 Fragments of a Chronology of Chance,1994,https://letterboxd.com/film/71-fragments-of-a-chronology-of-chance/,4
2013-06-09,Naked,1993,https://letterboxd.com/film/naked/,4.5
2013-06-09,Three Colors: Blue,1993,https://letterboxd.com/film/three-colors-blue/,4
2013-06-09,Bad Lieutenant,1992,https://letterboxd.com/film/bad-lieutenant/,3.5
2013-06-09,Raise the Red Lantern,1991,https://letterboxd.com/film/raise-the-red-lantern/,4.5
2013-06-09,A Tale of Winter,1992,https://letterboxd.com/film/a-tale-of-winter/,4
2013-06-09,Van Gogh,1991,https://letterboxd.com/film/van-gogh/,4
2013-06-09,GoodFellas,1990,https://letterboxd.com/film/goodfellas/,4
2013-06-09,A Tale of Springtime,1990,https://letterboxd.com/film/a-tale-of-springtime/,4
2013-06-09,Misery,1990,https://letterboxd.com/film/misery/,3.5
2013-06-09,Metropolitan,1990,https://letterboxd.com/film/metropolitan/,4
2013-06-09,The Decalogue,1989,https://letterboxd.com/film/the-decalogue/,4.5
2013-06-09,The Match Factory Girl,1990,https://letterboxd.com/film/the-match-factory-girl/,4
2013-06-09,The Seventh Continent,1989,https://letterboxd.com/film/the-seventh-continent/,4.5
2013-06-09,A Short Film About Killing,1988,https://letterboxd.com/film/a-short-film-about-killing/,4.5
2013-06-09,The Thin Blue Line,1988,https://letterboxd.com/film/the-thin-blue-line/,4
2013-06-09,Barfly,1987,https://letterboxd.com/film/barfly/,3.5
2013-06-09,The Green Ray,1986,https://letterboxd.com/film/the-green-ray/,4
2013-06-09,Stand by Me,1986,https://letterboxd.com/film/stand-by-me/,3.5
2013-06-09,The Fly,1986,https://letterboxd.com/film/the-fly-1986/,3.5
2013-06-09,Come and See,1985,https://letterboxd.com/film/come-and-see/,4.5
2013-06-09,The Right Stuff,1983,https://letterboxd.com/film/the-right-stuff/,3.5
2013-06-09,L’argent,1983,https://letterboxd.com/film/largent-1983/,4
2013-06-09,The King of Comedy,1982,https://letterboxd.com/film/the-king-of-comedy/,4.5
2013-06-09,Mommie Dearest,1981,https://letterboxd.com/film/mommie-dearest/,3.5
2013-06-09,Loulou,1980,https://letterboxd.com/film/loulou/,4
2013-06-09,Invasion of the Body Snatchers,1978,https://letterboxd.com/film/invasion-of-the-body-snatchers-1978-5/,3.5
2013-06-09,Days of Heaven,1978,https://letterboxd.com/film/days-of-heaven/,4
2013-06-09,Barry Lyndon,1975,https://letterboxd.com/film/barry-lyndon/,4
2013-06-09,The Shining,1980,https://letterboxd.com/film/the-shining/,4
2013-06-09,"Lacombe, Lucien",1974,https://letterboxd.com/film/lacombe-lucien/,4.5
2013-06-09,Badlands,1973,https://letterboxd.com/film/badlands/,3.5
2013-06-09,Scenes from a Marriage,1973,https://letterboxd.com/film/scenes-from-a-marriage/,4.5
2013-06-09,The Heartbreak Kid,1972,https://letterboxd.com/film/the-heartbreak-kid-1972/,3.5
2013-06-09,A Clockwork Orange,1971,https://letterboxd.com/film/a-clockwork-orange/,4
2013-06-09,Murmur of the Heart,1971,https://letterboxd.com/film/murmur-of-the-heart/,4
2013-06-09,Naked Childhood,1968,https://letterboxd.com/film/naked-childhood/,4
2013-06-09,Belle de Jour,1967,https://letterboxd.com/film/belle-de-jour/,4
2013-06-09,The Sword of Doom,1966,https://letterboxd.com/film/the-sword-of-doom/,4
2013-06-09,A Film Trilogy by Ingmar Bergman,1962,,4
2013-06-09,The Man Who Shot Liberty Valance,1962,https://letterboxd.com/film/the-man-who-shot-liberty-valance/,4
2013-06-09,Mamma Roma,1962,https://letterboxd.com/film/mamma-roma/,4
2013-06-09,Rocco and His Brothers,1960,https://letterboxd.com/film/rocco-and-his-brothers/,4.5
2013-06-09,The Housemaid,1960,https://letterboxd.com/film/the-housemaid/,4
2013-06-09,Le Trou,1960,https://letterboxd.com/film/le-trou/,4
2013-06-09,Pickpocket,1959,https://letterboxd.com/film/pickpocket/,3.5
2013-06-09,Ben-Hur,1959,https://letterboxd.com/film/ben-hur-1959/,3.5
2013-06-09,The Tarnished Angels,1957,https://letterboxd.com/film/the-tarnished-angels/,3.5
2013-06-09,Vertigo,1958,https://letterboxd.com/film/vertigo/,3.5
2013-06-09,The World of Apu,1959,https://letterboxd.com/film/the-world-of-apu/,4
2013-06-09,Imitation of Life,1959,https://letterboxd.com/film/imitation-of-life-1959/,3.5
2013-06-09,Ordet,1955,https://letterboxd.com/film/ordet/,4
2013-06-09,12 Angry Men,1957,https://letterboxd.com/film/12-angry-men/,4.5
2013-06-09,Le Notti Bianche,1957,https://letterboxd.com/film/le-notti-bianche/,4
2013-06-09,The Incredible Shrinking Man,1957,https://letterboxd.com/film/the-incredible-shrinking-man/,4
2013-06-09,Invasion of the Body Snatchers,1956,https://letterboxd.com/film/invasion-of-the-body-snatchers/,3.5
2013-06-09,The Killing,1956,https://letterboxd.com/film/the-killing/,4.5
2013-06-09,Written on the Wind,1956,https://letterboxd.com/film/written-on-the-wind/,4
2013-06-09,The Wrong Man,1956,https://letterboxd.com/film/the-wrong-man/,3.5
2013-06-09,Witness for the Prosecution,1957,https://letterboxd.com/film/witness-for-the-prosecution-1957/,4.5
